regression_case_id,benchmark_input,expected_candidate,expected_candidate_rank_seed,expected_candidate_rank_experimental,required_top_k,expected_candidate_satisfied_seed,expected_candidate_satisfied_experimental,interfering_candidate,experimental_rank,candidate_is_ahead_of_expected,entry_id,display,normalized,source_line_num,flags,morphology,conflict_group_id,review_queue_locations,source_revision,source_provenance,license_id,comparison_policy_version,candidate_limit,comparison_baseline_sha,human_lexical_decision,evidence_or_reference,reviewer_id,review_date,review_notes,uncertainty_or_disagreement,ranking_policy_followup_needed
03ed6e50a4cdd49be3294ed911f1a4a92fb09de63e9c4931625b28dfb686531d,welad,welat,1,2,5,true,true,wela,1,true,e853f7ecb78fd65787d149584b434e5d1bb65a1f4a7f6fa60804ad526da7bb15,wela,wela,38435,R,"[""po:adv""]",,"[""data/review-queues/kurdish-hunspell-kmr/hunspell-only.jsonl""]",88131d6878ef7fa3ee114aa554adc385ff85b44c,kurdish-hunspell-kmr:kmr/kmr-Latn.dic:38435,CC-BY-SA-4.0,three-pack-comparison-v1,10,7db99ee676bf81c8db25df57ee0fbb7dca74b2a0,needs_source_investigation,Documented first-person judgment by reviewer ferhatguneri: requires source investigation for adverbial/discourse usage.,ferhatguneri,2026-08-05,Requires source investigation to determine whether 'wela' is a standalone discourse particle/adverb (colloquial 'welle') or an unaccepted source record.,,no
b780540d6ffe2a4b22058af62ef48053efb17b1f35846567daffdd34eaf371b7,pirt,pirtûk,1,4,5,true,true,pirt,1,true,eb511a3f4d243b6077971b9ffaf67f64c95288dd842bcb4e10e2c89d09e2760d,pirt,pirt,29784,F,"[""po:noun_fem""]",,"[""data/review-queues/kurdish-hunspell-kmr/hunspell-only.jsonl""]",88131d6878ef7fa3ee114aa554adc385ff85b44c,kurdish-hunspell-kmr:kmr/kmr-Latn.dic:29784,CC-BY-SA-4.0,three-pack-comparison-v1,10,7db99ee676bf81c8db25df57ee0fbb7dca74b2a0,needs_linguist,Documented first-person judgment by reviewer ferhatguneri: requires specialist linguistic review for standalone noun status.,ferhatguneri,2026-08-05,Requires specialist linguistic review to determine whether standalone 'pirt' (meaning scrap/fragment) should enter the reviewed pack or remain in experimental data.,,no
b780540d6ffe2a4b22058af62ef48053efb17b1f35846567daffdd34eaf371b7,pirt,pirtûk,1,4,5,true,true,pirtî,2,true,d02a178eaef628bfb131bd961de76b44c7328da2ca75aa2be139e39d3260a06b,pirtî,pirtî,29814,AN,"[""po:adj""]",,"[""data/review-queues/kurdish-hunspell-kmr/hunspell-only.jsonl""]",88131d6878ef7fa3ee114aa554adc385ff85b44c,kurdish-hunspell-kmr:kmr/kmr-Latn.dic:29814,CC-BY-SA-4.0,three-pack-comparison-v1,10,7db99ee676bf81c8db25df57ee0fbb7dca74b2a0,needs_linguist,Documented first-person judgment by reviewer ferhatguneri: requires specialist linguistic review.,ferhatguneri,2026-08-05,Requires specialist linguistic review to determine morphological derivation and acceptability of 'pirtî' for reviewed pack.,,no
b780540d6ffe2a4b22058af62ef48053efb17b1f35846567daffdd34eaf371b7,pirt,pirtûk,1,4,5,true,true,pirtik,3,true,896eb1b22a62fb28260b7659f365d261f1fad74ffaf1587aabec2bb45487122a,pirtik,pirtik,29790,F,"[""po:noun_fem""]",,"[""data/review-queues/kurdish-hunspell-kmr/hunspell-only.jsonl""]",88131d6878ef7fa3ee114aa554adc385ff85b44c,kurdish-hunspell-kmr:kmr/kmr-Latn.dic:29790,CC-BY-SA-4.0,three-pack-comparison-v1,10,7db99ee676bf81c8db25df57ee0fbb7dca74b2a0,needs_source_investigation,Documented first-person judgment by reviewer ferhatguneri: requires pack-policy investigation for diminutive noun forms.,ferhatguneri,2026-08-05,Requires investigation of project pack policy regarding diminutivized nouns ('pirtik' meaning particle/crumb) before approving or excluding from reviewed pack.,,no
eccacd0ada60909aa409baf71741d75f19843f34e2ec7655d2fe17cb1085c001,şe,şev,1,9,5,true,false,şe,1,true,36035e8e97f1487bed72acb79aea0789824124327d639d95f20cdd557e2ad5a1,şe,şe,43000,M,"[""po:noun_masc""]",,"[""data/review-queues/kurdish-hunspell-kmr/hunspell-only.jsonl""]",88131d6878ef7fa3ee114aa554adc385ff85b44c,kurdish-hunspell-kmr:kmr/kmr-Latn.dic:43000,CC-BY-SA-4.0,three-pack-comparison-v1,10,7db99ee676bf81c8db25df57ee0fbb7dca74b2a0,needs_source_investigation,Documented first-person judgment by reviewer ferhatguneri: requires source investigation for noun gender and standalone usage.,ferhatguneri,2026-08-05,Requires source investigation to determine standalone noun usage and gender assignment for 'şe' (comb).,,no
eccacd0ada60909aa409baf71741d75f19843f34e2ec7655d2fe17cb1085c001,şe,şev,1,9,5,true,false,se,2,true,98510520313d0c45ffc0efab8e45dc6c72150bda6def9dfe41d11061af2ac875,se,se,33856,M,"[""po:noun_masc""]",,"[""data/review-queues/kurdish-hunspell-kmr/hunspell-only.jsonl""]",88131d6878ef7fa3ee114aa554adc385ff85b44c,kurdish-hunspell-kmr:kmr/kmr-Latn.dic:33856,CC-BY-SA-4.0,three-pack-comparison-v1,10,7db99ee676bf81c8db25df57ee0fbb7dca74b2a0,needs_source_investigation,Documented first-person judgment by reviewer ferhatguneri: requires source investigation for masculine noun record.,ferhatguneri,2026-08-05,Requires source investigation to distinguish whether masculine noun 'se' represents 'dog' (variant of seg/se) or an unaccepted diacritic-less entry.,,no
eccacd0ada60909aa409baf71741d75f19843f34e2ec7655d2fe17cb1085c001,şe,şev,1,9,5,true,false,sê,3,true,09b9615e18bca7b64270de5df9ca439415f4fec996f01f07bf7676ee8655be8e,sê,sê,35567,AN,"[""po:adj""]",ce6da264f7c9c318282532121fbdd7cf300ee1273f7549e555518525d35e838f,"[""data/review-queues/kurdish-hunspell-kmr/hunspell-only.jsonl"",""data/review-queues/kurdish-hunspell-kmr/metadata-conflict-groups.jsonl""]",88131d6878ef7fa3ee114aa554adc385ff85b44c,kurdish-hunspell-kmr:kmr/kmr-Latn.dic:35567,CC-BY-SA-4.0,three-pack-comparison-v1,10,7db99ee676bf81c8db25df57ee0fbb7dca74b2a0,approved,Documented first-person judgment by reviewer ferhatguneri: 'sê' is accepted as an entry-level cardinal numeral record.,ferhatguneri,2026-08-05,"Valid standard Kurmancî cardinal numeral meaning 'three' in standard Kurmancî Latin orthography, where entry metadata po:adj represents cardinal numeral modification in noun phrases.",,yes
eccacd0ada60909aa409baf71741d75f19843f34e2ec7655d2fe17cb1085c001,şe,şev,1,9,5,true,false,şeh,4,true,1ebd48dd8d38f914ea0ac160f153f2c0295f2d6a3d458039999ceca5e69c95a9,şeh,şeh,43019,F,"[""po:noun_fem""]",2ab4bae28edf075f384b1743ade7677d7dccc49afc47ada3a9296a5575466fb9,"[""data/review-queues/kurdish-hunspell-kmr/hunspell-only.jsonl"",""data/review-queues/kurdish-hunspell-kmr/metadata-conflict-groups.jsonl""]",88131d6878ef7fa3ee114aa554adc385ff85b44c,kurdish-hunspell-kmr:kmr/kmr-Latn.dic:43019,CC-BY-SA-4.0,three-pack-comparison-v1,10,7db99ee676bf81c8db25df57ee0fbb7dca74b2a0,needs_source_investigation,Documented first-person judgment by reviewer ferhatguneri: requires conflict-group metadata investigation.,ferhatguneri,2026-08-05,Requires conflict-group investigation (group 2ab4bae2...) to determine whether etymological variant 'şeh' (comb) should be merged or retained.,,no
eccacd0ada60909aa409baf71741d75f19843f34e2ec7655d2fe17cb1085c001,şe,şev,1,9,5,true,false,şen,5,true,d230c02ab33ffcd54709d6a60ce607fa84d72818172867e7e4b699cffbab7f82,şen,şen,43155,F,"[""po:noun_fem""]",,"[""data/review-queues/kurdish-hunspell-kmr/hunspell-only.jsonl""]",88131d6878ef7fa3ee114aa554adc385ff85b44c,kurdish-hunspell-kmr:kmr/kmr-Latn.dic:43155,CC-BY-SA-4.0,three-pack-comparison-v1,10,7db99ee676bf81c8db25df57ee0fbb7dca74b2a0,needs_linguist,Documented first-person judgment by reviewer ferhatguneri: requires specialist linguistic review for regional noun.,ferhatguneri,2026-08-05,Requires specialist linguistic review to determine regional/dialectal acceptability of 'şen' (winnowing fork) for default reviewed pack.,,no
eccacd0ada60909aa409baf71741d75f19843f34e2ec7655d2fe17cb1085c001,şe,şev,1,9,5,true,false,şep,6,true,c063f32be8b8421308b6f08c97a5669c9137a520e4ef6ceebfa966a1a04b63cb,şep,şep,43169,F,"[""po:noun_fem""]",,"[""data/review-queues/kurdish-hunspell-kmr/hunspell-only.jsonl""]",88131d6878ef7fa3ee114aa554adc385ff85b44c,kurdish-hunspell-kmr:kmr/kmr-Latn.dic:43169,CC-BY-SA-4.0,three-pack-comparison-v1,10,7db99ee676bf81c8db25df57ee0fbb7dca74b2a0,needs_source_investigation,Documented first-person judgment by reviewer ferhatguneri: requires source investigation for root form.,ferhatguneri,2026-08-05,Requires source investigation to verify whether standalone root 'şep' is an attested noun or truncated form of 'şepol'/'şepûpa'.,,no
